country,continent,timezone,utc_offset,dst_status
Somalia,Africa,EAT,+3,No DST
Kenya,Africa,EAT,+3,No DST
Uganda,Africa,EAT,+3,No DST
Tanzania,Africa,EAT,+3,No DST
Rwanda,Africa,CAT,+2,No DST
Burundi,Africa,CAT,+2,No DST
South Sudan,Africa,CAT,+2,No DST
Sudan,Africa,CAT,+2,No DST
Egypt,Africa,EET/EEST,+2/+3,Does observe DST
Libya,Africa,EET,+2,No DST since 2013
Tunisia,Africa,CET,+1,Abolished DST 2008
Algeria,Africa,CET,+1,No DST since 1981
Morocco,Africa,GMT/UTC+1,+0/+1,Observes DST except Ramadan
Mauritania,Africa,GMT,+0,No DST
Western Sahara,Africa,GMT,+0,No DST
Argentina,South America,ART,-3,Abolished DST 2009
Brazil,South America,BRT/AMT/FNT/AMT,-2/-3/-4/-5,Abolished DST 2019
Bolivia,South America,BOT,-4,No DST
Peru,South America,PET,-5,No DST
Colombia,South America,COT,-5,No DST
Ecuador,South America,ECT/GALT,-5/-6,No DST (Galapagos -6)
Venezuela,South America,VET,-4,No DST
Guyana,South America,GYT,-4,No DST
Suriname,South America,SRT,-3,No DST
French Guiana,South America,GFT,-3,No DST
Belize,North America,CST,-6,No DST
Costa Rica,North America,CST,-6,No DST
El Salvador,North America,CST,-6,No DST
Guatemala,North America,CST,-6,No DST
Honduras,North America,CST,-6,No DST
Nicaragua,North America,CST,-6,No DST
Panama,North America,EST,-5,No DST
Jamaica,North America,EST,-5,No DST
Dominican Republic,North America,AST,-4,No DST
Trinidad and Tobago,North America,AST,-4,No DST
Barbados,North America,AST,-4,No DST
Grenada,North America,AST,-4,No DST
Saint Lucia,North America,AST,-4,No DST
Saint Vincent,North America,AST,-4,No DST
Antigua and Barbuda,North America,AST,-4,No DST
Saint Kitts and Nevis,North America,AST,-4,No DST
Dominica,North America,AST,-4,No DST
Papua New Guinea,Oceania,PGT,+10,No DST
Solomon Islands,Oceania,SBT,+11,No DST
Cook Islands,Oceania,CKT,-10,No DST
Kiribati,Oceania,GILT/PHOT/LINT,+12/+13/+14,No DST
Marshall Islands,Oceania,MHT,+12,No DST
Micronesia,Oceania,CHUT/PONT,+10/+11,No DST
Nauru,Oceania,NRT,+12,No DST
Palau,Oceania,PWT,+9,No DST
Tuvalu,Oceania,TVT,+12,No DST
